title,companyname,location,salary,summary,description
"AI Data Scientist","17MEDIA SG PTE. LTD.",Singapore,"$6,000 - $10,000 a month","We’re seeking an experienced data scientist to deliver that insight to us on a daily basis.
Analyze data for trends and patterns, and Interpret data with a…",None
"Data Scientist","OVERSEA-CHINESE BANKING CORPORATION LIMITED",Singapore,"$4,000 - $10,000 a month","Conduct data exploration, feature engineering, visualization and develop models.
Clear communicator, with the ability to articulate ideas with data.",None
"Data Scientist","PALO IT SINGAPORE PTE. LTD.",Singapore,"$5,000 - $7,500 a month","Data-oriented background in SQL, data wrangling and data modelling.
The Data Scientist will design, build and execute machine learning techniques on large,…",None
"Chief Data Scientist","NextWave Partners",Singapore,None,"We are looking for a Chief Data Scientist who will be leading and driving the direction of advanced analytics strategy and implementation.",None
"Data Scientist","XYPHER PTE. LTD.",Singapore,"$4,000 - $5,000 a month","As our Data Scientist, you will.
As a Data Scientist at DATAVLT, you will be reporting to the Head of Data Scientist and Software Engineers who are focused on…",None
"Data Scientist","Comtel Solutions Pte Ltd",Singapore,None,"Interpret data and analyses data with SQL, R, Octave, Python.
Develop data model that are meaningful and impactful on a critical market data application.",None
"Machine Learning Engineer","JobStudio Pte Ltd",Singapore,None,"You will be working closely with senior data scientists to deliver proprietary algorithms running at scale across our data platform Writing modular, scalable…",None
"College Intern - Data Science",HP,Singapore,None,"Knowledge of data science, data warehousing, database management (preferably using SQL) and data visualization using RShiny/Plotly.","HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.

HP has an impressive portfolio and strong innovation pipeline across areas such as:
blended reality technology - our unique Sprout by HP will change the way people do things
3D printing
multi-function printing
Ink in the office
tablets, phablets, notebooks
mobile workstations
We are looking for visionaries who are ready to make an impact on the way the world works. At HP, the future’s yours to create! If you are our College Intern in Singapore, you will be attached to the "Smart Manufacturing Application and Research Center" and will have a chance to:
Work with an enterprising team of data scientists and build solutions to track, analyze and visualize outgoing quality of our supplies
Create algorithms to extract information from large data sets.
Generate deep insights through the analysis of data and understanding of operational processes and turn them into actionable recommendations
Develop methodologies for optimizing our business processes through data visualization, real-time monitoring, predictive analytics etc.
Establish scalable, efficient, automated processes for model development, model validation, model implementation and large-scale data analysis
Are you a high-performer? We are looking for an individual with:
Studying Master’s degree in Computer Science, Business Analytics, Information Systems, Industrial Engineering, Statistics with good experience in programming
Excellent analytical thinking, programming (using R/Python is desirable), and problem-solving skills
Knowledge of data science, data warehousing, database management (preferably using SQL) and data visualization using RShiny/Plotly
Fundamental knowledge of statistics and probability
Familiarity with predictive modeling, machine learning, and optimization algorithms
Ability to communicate ideas clearly and coherently in a convincing manner"
"Data Scientist - Geographic / Logistic Optimisation",Shopee,Singapore,None,"Extract data insights from massive data sets, and build data visualisation for business and technical audiences.","Job Description

Work cross-functionally with business owners/product managers/engineers, and designers throughout the whole process of the data science projects
Develop, deploy, and maintain scalable infrastructure for AI models and algorithms. The domain includes but not limited to Logistics and Supply Chain Management, Natural Language Processing, Large-scale Scheduling and Optimisation, Geographic Solution and Maps.
Extract data insights from massive data sets, and build data visualisation for business and technical audiences. Communicate solution approaches to work with partners and stakeholders efficiently
Design and conduct data science experimental framework to enable organization-wide data-driven practice
Requirements:
Masters or PhD in Computer Science, Operations Research, Mathematics, Statistics or fields related to data mining preferred with minimum 2 years working experience in relevant industry
Excellent communication skills with the ability to identify and communicate data-driven insights and solutions
Deep understanding in algorithmic foundations of optimization, NLP, statistics and probability
Experienced in at least one programming language (e.g., Golang, C++, Java, Python) and Unix/Linux system
Preferred Qualifications:
Having one or more of the following skills will be a big plus.

Practical experience in logistics and map relevant industry (POI, map matching, geocoding etc.)
Practical development experience in real-time large-scale optimisation algorithms (e.g., supply chain network optimisation, vehicle optimisation optimisation)
Practical experience in Kubernetes/Docker"
"Data Scientist",percept-solutions,Singapore,"$6,000 - $9,000 a month","Experience with Data Mining, Statistical Modelling, and Data Manipulation.
Implement solutions to problems using data mining, data analysis, and optimization…","Job Description
Apply advanced data science and machine learning techniques to develop commercially driven products
Work on full life-cycle product development
Implement solutions to problems using data mining, data analysis, and optimization tools
Job Requirements
Experience with one or more of the following platforms SAS, SPSS, Python, R, Hadoop or SQL
Proven Java or Python development skills are a must
Experience building predictive models and implementing them in a production environment is preferred
Strong analytical and problem-solving skills
Experience with Data Mining, Statistical Modelling, and Data Manipulation
Advanced statistical analysis (predictive models and segmentation)
Proficient in QlikSense or Tableau
EA License No: 18S9405 Reg No: R1330864
Skills & Competencies
Data Analysis, Statistical modelling, Predictive Analysis
Number of Vacancies:
4
Minimum Years of Experience:
3
Salary:
S$6000-S$9000"
"Data Scientist, Singapore",Axinan,Singapore,None,"Work with backend engineers to architect data storage and processing pipelines.
Work with product managers to develop new product features based on insights…","What will you do?

Design and build data driven systems for risk control, fraud detection, recommendation, customer segmentation, adaptive pricing etc.

Build, validate, test, and deploy models and algorithms.

Work with backend engineers to architect data storage and processing pipelines.

Work with product managers to develop new product features based on insights from data.

What do you need?

Master or PhD in computer science, statistics, mathematics, or fields related to big data preferred.

Experience in Python or R.

Knowledge in supervised/unsupervised learning, classification/clustering algorithms, feature engineering/optimization, computer vision.

Experience in deep learning, reinforcement learning, personalized search and recommendation, user/seller behavior modeling, marketing algorithms preferred.

Experience of Hadoop, Spark, Tensorflow is a plus.

Experience with visualization software to convert models/insights into simple, business sell-in stories would be an advantage (but not mandatory).

Outstanding analytical and problem-solving skills.

Self-motivated, innovative, and proactive. Willing to learn new knowledge and explore unfamiliar domains."
"Data Scientist - AI Lab","OCBC Bank",Singapore,None,"Strong interest in data, machine learning and artificial intelligence.
Clear communicator, with the ability to articulate ideas with data.","Job description:
Develop data-driven web applications using Python and JavaScript.
Contribute to scaling our data science capability through the development of smart apps.
Be a thought-leader and drive innovation within the organisation.


LI-VN

Qualifications

Requirements:
Degree in a quantitative subject (e.g. Computer Science, Engineering, Mathematics, or related field).
Minimum 5 years of working experience developing web applications.
Strong proficiency in Python and JavaScript.
Proficiency using Python-based web frameworks such as Flask, Django or Dash would be a strong advantage.
Strong interest in data, machine learning and artificial intelligence.
Exposure to React.js and related frameworks.
Experience using Docker and Kubernetes or similar frameworks to deploy web applications at scale.
Clear communicator, with the ability to articulate ideas with data.
Experience with operating in a corporate environment and stakeholder management.
Strong results driven personality with an innovative spirit

Primary Location: Singapore
Job: Analytics
Organization: Group Customer Analytics and Decisioning
Schedule: Permanent
: Full-time
Job Posting: 12-Mar-2020, 4:05:38 AM"
"Research Scientist","Singapore Management University",Singapore,None,"Required to design research methodologies and develop algorithms and models Required to design and conduct experiments, as well as implement applications, tools…","Work in the area of Artificial Intelligence, Deep Learning and Machine Learning in the Application domain of Smart Consumption and Healthy Lifestyle, which aims to aid citizens to understand demographics and adopt a healthy lifestyle. Required to design research methodologies and develop algorithms and models Required to design and conduct experiments, as well as implement applications, tools and systems Assist to develop analytics capabilities in big data infrastructure and conduct data science studies Qualifications PhD in Computer Science or related disciplines Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C Self-motivated and able to carry out tasks independently Excellent team player and possess strong inter-personal skills Analytical and meticulous with attention to details"
"Data Scientist","Procter & Gamble",Singapore,None,"Evaluate available data sources and propose strategic acquisition or crafting of new data sources to assist ongoing problem resolution.","Overview of the role

Do you love building algorithms and analytic frameworks? How would you like to use your creative and analytical skills alongside business leadership in your everyday work? If this sounds like fun, we would love to hire someone with your skills and abilities!

As a Data Scientist in P&G, you will be building algorithms / Analytic IP targeted at transforming strategic decisions and operations by bringing advanced analytics and cognitive science into our core work processes. This role will begin as part of our regional Babycare business unit and focusing primarily on the Japan and Korea markets.

Your Team

This role is located in Singapore and you will be part of regional Data Science team for APAC P&G. You will report to a Senior Manager within the Babycare Business Unit and be accountable to a multi-functional team.

What Success Looks Like

You have a passion for understanding the wicked problems in organization, crafting new algorithms & advanced predictive & statistical models to solve identified problems. You have strong collaboration skills to partner with other IT professionals to embed the models into new systems of activity.

You should own the engagement with business leaders for problem identification, recommending data sources inside or outside of P&G to resolve problems, and advising junior team members on technical aspects of modeling.

Responsibilities of the role
Evaluate available data sources and propose strategic acquisition or crafting of new data sources to assist ongoing problem resolution.
Work with IT teams to support data collection, integration, and retention requirements based on the input collected with the business.
Identify and / or create appropriate algorithms to resolve the problems, design experiments to validate initial assumptions and provide scenario modelling as required.
Lead discovery processes with business stakeholders to identify business requirements and expected outcomes.
Have Master’s Degree or PHD level qualifications. Preferred quantitative fields include; Operations Research, Economic Theory, Mathematics, Applied Mathematics, Statistics and Computer Science, Analytics, Physics • 2-4 years of experience as Analyst, Lead Developer in BI systems, or Data Scientist with proven record of embedding advanced analytical models into business processes • Possess strong technical skills, comfortable with SQL, R and/or Python and various modeling approaches • Strong leadership record, exhibiting both ability to engage clients and work within a team • Excellent written and good communication skills to influence others to take action • Demonstrated ability to handle multiple priorities and work across geographies and cultures Additional Skills (Optional): • Business Intelligence Tools such as KNIME, Tableau, Spotfire • Artificial Intelligence / Big Data Ecosystem such as Hadoop, Spark, TensorFlow, Hive • Scientific Computing such as C++, Java, Scala • Advanced analytical models such as Bayesian, Optimization (global, local, stochastic methods), Uncertainty Quantification, etc
About us
We produce globally recognized brands and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including Neurobion, Sangobion, Vicks, Always®, Ariel®, Gillette®, Head & Shoulders®, Herbal Essences®, Oral-B®, Pampers®, Pantene®, Tampax® and more. Our community includes operations in approximately 70 countries worldwide.
Visit http://www.pg.com (http://www.pg.com) to know more.
Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we’re committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being “in touch” so we craft brands and products to improve the lives of the world’s consumers now and in the future. We want you to inspire us with your unrivaled ideas.
We are committed to providing equal opportunities in employment. We do not discriminate against individuals on the basis of race, color, gender, age, national origin, religion, sexual orientation, gender identity or expression, marital status, citizenship, disability, veteran status, HIV/AIDS status, or any other legally protected factor."
"Data Scientist",Quincus,Singapore,None,"Looking for a data scientist who will discover the information hidden in vast amount of data and.
The primary focus will be applying data mining.","Job Brief
Looking for a data scientist who will discover the information hidden in vast amount of data and
help make smarter decisions for better products. The primary focus will be applying data mining
techniques, doing statistical analysis and building high quality prediction systems integrated with
our product.
Responsibilities
Interpret and manage data and solve complex problems
Selecting features, building and optimizing classifiers using techniques.
Enhancing data collecting procedures to include information that is relevant for building
analytic systems.
Processing, cleaning and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear manner.
Requirements
Relevant experience in the same field.
Experience in technologies such as Python, Java.
Understanding of techniques and algorithms.
Good statistical skills.
Proficiency in using query languages."
"Research Scientist","Rakuten Asia Pte Ltd",Singapore,None,"Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology.
About Rakuten Institute of Technology (RIT)*.","About Rakuten Institute of Technology (RIT)
Rakuten Institute of Technology (RIT) is a think-tank and technology incubator for Rakuten Group – focusing on data R&D and strategic technology development.
With offices in Tokyo, Boston, Paris, India and Singapore, RIT contributions cover a broad range of topics, including Data Mining, Natural Language Processing, High-performance computing, UI/UX, and multimedia processing.
Scope
Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology. As part of RIT, you will have an exciting opportunity to accelerate growth of existing Rakuten businesses, and to drive innovation with long-term benefits for the company; while collaborating closely with research, engineering, and business teams globally.
Responsibilities
Be an expert and drive research results in one or more of the below areas:
Machine Learning, Statistics, Information Retrieval, Recommender Systems, Natural Language Processing, Machine Translation, Sentiment Analysis, Graph Analysis, Computer Vision, Augmented/Virtual Reality, Other emerging technologies
Deliver results: Develop new technologies, improve business performance
Demonstrate long-term vision, while effectively supporting short-term goals
Be a thought-leader, keeping up with the academic and industry trend
Job Types: Full-time, Permanent
Experience:
research scientist: 1 year (Preferred)"
"Data Scientist","National University of Singapore",Queenstown,None,"Create detailed reports on data sources, methodology, analytical techniques, analytical results and insights for stakeholders.","To assist the Director with the collection, analysis, visualisation of research and education data and presentation of analytical results for regular and ad-hoc reporting purposes to meet multiple information requirements of the various stakeholders of the university.

The successful candidate will assist the Director of Research and Education Analytics with the following activities: -
Research, collect, analyse and report on key indicators, for both regular and ad-hoc reporting purposes.
Program and develop depositories and system for accessing regular reports by key stakeholders.
Develop visualizations and presentations for dissemination of analytical results and derivation of actionable insight.
Create detailed reports on data sources, methodology, analytical techniques, analytical results and insights for stakeholders.
Qualifications
Successful candidate will have the following qualifications and capabilities: -
PhD or Master in operations research, applied statistics, data mining or a related quantitative discipline.
Strong analytical skills, highly proficient in statistical and predictive modelling techniques, clustering and classification techniques, and optimization methods.
Experience in query databases from different sources and perform quantitative modelling and statistical analysis.
Experience in developing or programming databases.
Some understanding of the higher education sector and the needs of related key stakeholders in the university.
Proficient in Excel.
Ability to work autonomously.
At least 3 years of similar experience.
Job: Executive and Administrative
Primary Location: Kent Ridge
Organization: Office of the Senior Deputy President and Provost
Schedule: Full-time - Open (Permanent)
Job Posting: 23/10/2019, 4:20:16 AM
:"
"Data Scientist","Changi Airport Group",Singapore,None,"We are looking for a Data Scientist to join our vibrant team in Enterprise Data Science Management.
Lead enterprise data analytics and major data projects.","Serving tens of millions of customers each year, Changi Airport aims to create memorable experiences by connecting lives. Whether it is growing air links to the world, enhancing experience at the various touchpoints, or curating personalized retail offerings, we are continually striving to better serve our customers at Changi Airport. To do so, we are enabled by technology, processes, data and the generation of insights.
Enterprise Data Science
Enterprise Data Science Management (EDSM) comprises of a team of analytics professionals tasked with the mandate to help solve business problems across the enterprise. EDSM leverages on data science capabilities and adopts a “data first” approach in distilling actionable insights to key stakeholders including senior management and business teams. EDS seeks to create positive impact and business value through data-driven decision-making.
We are looking for a Data Scientist to join our vibrant team in Enterprise Data Science Management. Working with like-minded data-driven enthusiasts, you will lead enterprise analytics and spearhead the development of data products and insights to support internal stakeholders. You will also help to develop and foster a culture of data-driven analytics throughout the company.
You are focussed on results, a self-starter, and have demonstrated success in using analytics to generate positive impact in areas such as revenue generation, cost reduction, commercial innovation or operational efficiency.
Responsibilities
Apply your expertise in data science, quantitative analysis, data mining and the presentation of data to derive insights that value-add to business decision making (e.g. hypothesis testing, development of MVPs etc).
Lead enterprise data analytics and major data projects.
Develop predictive / ML models for forecasting.
Drive the development of customer segmentation models.
Partner and support users in various internal teams to solve problems, identify trends / business opportunities and participate in experimentations.
Develop metrics and dashboards to support decision-making.
Requirements
Degree in Computer Science, Math, Statistics, Operations Research or other quantitative / computational discipline.
6+ years experience in quantitative analysis and data science (machine learning / predictive modelling) with proficiency using common analysis tools (e.g. Python, R).
Expertise in a range of ML methods and data infrastructure technologies (e.g. Spark, TensorFlow).
Data engineering experience, including SQL, ETL and experience in manipulating data sets with structured and unstructured data using Hadoop, AWS or other big data platforms.
Proficient in visualization / dashboard tools (e.g. Tableau, Microstrategy).
Strong project management and organizational skills.
Excellent communication skills (verbal, written) to deliver insights (compelling presentations, easy to understand rationale) to senior management, internal and external stakeholders.
Motivated and driven, able to work independently and a good team player as part of a multidisciplinary team."
"Senior Data Scientist","UPSKILLS PTE. LTD.",Raffles,"$9,000 - $16,000 a month","Development using Big Data architecture.
Experienced in using Big Data Architecture and the tools in the landscape.
PhD / Master’s in Quantitative Disciplines.","Roles & Responsibilities
Upskills is seeking a highly motivated candidate with sound NLP knowledge to spearhead Machine Learning (ML) projects working with the clients. Reporting to the head of data science, you will be responsible to lead client projects related to AI and Machine learning domain with a focus towards applications to capital markets.
Strong analytical and technical skills in independently carrying the weight of projects assigned ensuring success.
Contribution to research ideas; Problem solving;
Able to code and timely delivery of the projects.
Leading the team and presenting ideas to the client.
Requirements
PhD / Master’s in Quantitative Disciplines
Leadership in generating ideas
Analyse and deriving insights using visualisation tools
Knowledge about Products and processes in Capital Markets
Experience in productionising Machine Learning Projects
Proficient in Python (and/or R)
Development using Big Data architecture.
Strong theoretical foundation in Statistics and Advanced Machine learning concepts.
Expertise in one or more of the following is an advantage:
Development of NLP based Deep Learning models;
Model development using Graphical Database Frameworks;
Experienced in using Big Data Architecture and the tools in the landscape
CI/CD practices in red hat OpenShift or in docker VMware environments [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
